dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,30,pcal,0.64,0.57,0.59,0
indian_pines,30,pcal,0.6,0.51,0.55,1
indian_pines,30,pcal,0.63,0.55,0.57,2
indian_pines,30,pcal,0.61,0.55,0.55,3
indian_pines,30,pcal,0.63,0.57,0.58,4
indian_pines,30,pcal,0.62,0.52,0.57,5
indian_pines,30,pcal,0.61,0.54,0.56,6
indian_pines,30,pcal,0.61,0.51,0.55,7
indian_pines,30,pcal,0.61,0.54,0.56,8
indian_pines,30,pcal,0.6,0.52,0.54,9
indian_pines,30,pcal,0.61,0.5,0.56,10
indian_pines,30,pcal,0.62,0.59,0.57,11
indian_pines,30,pcal,0.62,0.59,0.57,12
indian_pines,30,pcal,0.6,0.55,0.55,13
indian_pines,30,pcal,0.64,0.59,0.6,14
indian_pines,30,pcal,0.62,0.56,0.56,15
indian_pines,30,pcal,0.61,0.56,0.56,16
indian_pines,30,pcal,0.6,0.51,0.54,17
indian_pines,30,pcal,0.62,0.54,0.57,18
indian_pines,30,pcal,0.61,0.53,0.56,19
indian_pines,29,pcal,0.64,0.56,0.59,0
indian_pines,29,pcal,0.6,0.51,0.54,1
indian_pines,29,pcal,0.62,0.54,0.57,2
indian_pines,29,pcal,0.6,0.54,0.55,3
indian_pines,29,pcal,0.63,0.57,0.58,4
indian_pines,29,pcal,0.62,0.52,0.57,5
indian_pines,29,pcal,0.62,0.54,0.56,6
indian_pines,29,pcal,0.6,0.51,0.54,7
indian_pines,29,pcal,0.61,0.54,0.56,8
indian_pines,29,pcal,0.6,0.52,0.54,9
indian_pines,29,pcal,0.61,0.5,0.55,10
indian_pines,29,pcal,0.62,0.58,0.57,11
indian_pines,29,pcal,0.61,0.59,0.56,12
indian_pines,29,pcal,0.6,0.55,0.54,13
indian_pines,29,pcal,0.64,0.59,0.59,14
indian_pines,29,pcal,0.61,0.56,0.56,15
indian_pines,29,pcal,0.61,0.56,0.56,16
indian_pines,29,pcal,0.6,0.51,0.54,17
indian_pines,29,pcal,0.62,0.53,0.56,18
indian_pines,29,pcal,0.61,0.53,0.56,19
indian_pines,28,pcal,0.64,0.57,0.59,0
indian_pines,28,pcal,0.6,0.53,0.55,1
indian_pines,28,pcal,0.63,0.55,0.57,2
indian_pines,28,pcal,0.62,0.56,0.57,3
indian_pines,28,pcal,0.63,0.57,0.58,4
indian_pines,28,pcal,0.63,0.52,0.57,5
indian_pines,28,pcal,0.61,0.55,0.56,6
indian_pines,28,pcal,0.6,0.51,0.55,7
indian_pines,28,pcal,0.6,0.55,0.55,8
indian_pines,28,pcal,0.6,0.52,0.55,9
indian_pines,28,pcal,0.61,0.51,0.55,10
indian_pines,28,pcal,0.63,0.59,0.58,11
indian_pines,28,pcal,0.62,0.59,0.56,12
indian_pines,28,pcal,0.61,0.56,0.55,13
indian_pines,28,pcal,0.64,0.59,0.59,14
indian_pines,28,pcal,0.62,0.57,0.56,15
indian_pines,28,pcal,0.61,0.56,0.56,16
indian_pines,28,pcal,0.61,0.53,0.56,17
