dataset,target_size,algorithm,oa,aa,k,fold
salinas,30,v9,0.93,0.97,0.93,0
salinas,30,v9,0.93,0.96,0.92,1
salinas,30,v9,0.93,0.96,0.92,2
salinas,30,v9,0.93,0.96,0.92,3
salinas,30,v9,0.93,0.96,0.93,4
salinas,30,v9,0.93,0.97,0.92,5
salinas,30,v9,0.93,0.96,0.92,6
salinas,30,v9,0.93,0.97,0.92,7
salinas,30,v9,0.93,0.97,0.93,8
salinas,30,v9,0.93,0.97,0.93,9
salinas,30,v9,0.93,0.97,0.92,10
salinas,30,v9,0.93,0.97,0.92,11
salinas,30,v9,0.94,0.97,0.93,12
salinas,30,v9,0.93,0.96,0.92,13
salinas,30,v9,0.93,0.96,0.92,14
salinas,30,v9,0.93,0.97,0.93,15
salinas,30,v9,0.93,0.97,0.92,16
salinas,30,v9,0.94,0.97,0.93,17
salinas,30,v9,0.93,0.97,0.92,18
salinas,30,v9,0.93,0.96,0.92,19
salinas,29,v9,0.93,0.97,0.93,0
salinas,29,v9,0.93,0.96,0.92,1
salinas,29,v9,0.93,0.96,0.92,2
salinas,29,v9,0.93,0.96,0.92,3
salinas,29,v9,0.93,0.96,0.93,4
salinas,29,v9,0.93,0.97,0.92,5
salinas,29,v9,0.93,0.96,0.92,6
salinas,29,v9,0.93,0.97,0.92,7
salinas,29,v9,0.93,0.97,0.92,8
salinas,29,v9,0.93,0.97,0.93,9
salinas,29,v9,0.93,0.97,0.92,10
salinas,29,v9,0.93,0.97,0.92,11
salinas,29,v9,0.93,0.97,0.93,12
salinas,29,v9,0.93,0.96,0.92,13
salinas,29,v9,0.93,0.96,0.92,14
salinas,29,v9,0.93,0.97,0.93,15
salinas,29,v9,0.93,0.97,0.92,16
salinas,29,v9,0.93,0.97,0.93,17
salinas,29,v9,0.93,0.97,0.92,18
salinas,29,v9,0.93,0.96,0.92,19
salinas,28,v9,0.93,0.97,0.92,0
salinas,28,v9,0.93,0.96,0.92,1
salinas,28,v9,0.93,0.96,0.92,2
salinas,28,v9,0.93,0.96,0.92,3
salinas,28,v9,0.93,0.96,0.92,4
salinas,28,v9,0.93,0.96,0.92,5
salinas,28,v9,0.93,0.96,0.92,6
salinas,28,v9,0.93,0.97,0.92,7
salinas,28,v9,0.93,0.97,0.92,8
salinas,28,v9,0.93,0.97,0.92,9
salinas,28,v9,0.93,0.97,0.92,10
salinas,28,v9,0.93,0.97,0.92,11
salinas,28,v9,0.93,0.97,0.92,12
salinas,28,v9,0.93,0.96,0.92,13
salinas,28,v9,0.93,0.96,0.92,14
salinas,28,v9,0.93,0.96,0.92,15
salinas,28,v9,0.93,0.97,0.92,16
salinas,28,v9,0.93,0.97,0.92,17
salinas,28,v9,0.93,0.97,0.92,18
salinas,28,v9,0.93,0.96,0.92,19
salinas,27,v9,0.93,0.97,0.92,0
salinas,27,v9,0.93,0.96,0.92,1
salinas,27,v9,0.93,0.96,0.92,2
salinas,27,v9,0.93,0.96,0.92,3
salinas,27,v9,0.93,0.96,0.92,4
salinas,27,v9,0.93,0.97,0.92,5
salinas,27,v9,0.93,0.96,0.92,6
salinas,27,v9,0.93,0.96,0.92,7
salinas,27,v9,0.93,0.96,0.92,8
salinas,27,v9,0.93,0.97,0.92,9
salinas,27,v9,0.93,0.97,0.92,10
salinas,27,v9,0.93,0.97,0.92,11
salinas,27,v9,0.93,0.97,0.92,12
salinas,27,v9,0.93,0.96,0.92,13
salinas,27,v9,0.93,0.96,0.92,14
salinas,27,v9,0.93,0.96,0.92,15
salinas,27,v9,0.93,0.97,0.92,16
salinas,27,v9,0.93,0.97,0.92,17
salinas,27,v9,0.93,0.97,0.92,18
salinas,27,v9,0.93,0.96,0.92,19
salinas,26,v9,0.93,0.97,0.92,0
salinas,26,v9,0.93,0.96,0.92,1
salinas,26,v9,0.93,0.96,0.92,2
