dataset,oa,aa,k,target_size,algorithm,time,selected_features,selected_weights
ghisaconus,0.76,0.71,0.63,0,all,0.0,,
ghisaconus,0.745,0.624,0.624,27,pcal,0.0,0|9|17|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|35|36|46|47|48|49|102|126,0.36011882623634245|0.344782375436894|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.3448543326436805|0.34725415679533267|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215
ghisaconus,0.743,0.624,0.624,28,pcal,0.0,0|9|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|102|126,0.36011882623634245|0.344782375436894|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.3439357847366841|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.3448543326436805|0.34725415679533267|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215
ghisaconus,0.751,0.631,0.631,30,pcal,0.007,0|9|10|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|102|126|130,0.36011882623634245|0.344782375436894|0.34369013353535455|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.3439357847366841|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.3448543326436805|0.34725415679533267|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215|0.34254452498116816
ghisaconus,0.734,0.614,0.614,26,pcal,0.0,0|17|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|35|36|46|47|48|49|102|126,0.36011882623634245|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.3448543326436805|0.34725415679533267|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215
ghisaconus,0.75,0.633,0.633,29,pcal,0.0,0|9|10|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|102|126,0.36011882623634245|0.344782375436894|0.34369013353535455|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.3439357847366841|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.3448543326436805|0.34725415679533267|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215
ghisaconus,0.688,0.584,0.584,16,pcal,0.0,18|19|20|21|22|23|24|25|26|27|29|31|46|47|48|49,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.36785665297962994|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.703,0.59,0.59,17,pcal,0.0,18|19|20|21|22|23|24|25|26|27|29|31|32|46|47|48|49,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.36785665297962994|0.365661158460346|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.705,0.59,0.59,18,pcal,0.0,18|19|20|21|22|23|24|25|26|27|29|31|32|33|46|47|48|49,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.36785665297962994|0.365661158460346|0.3628578797797701|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.718,0.607,0.607,19,pcal,0.0,18|19|20|21|22|23|24|25|26|27|29|31|32|33|46|47|48|49|102,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.36785665297962994|0.365661158460346|0.3628578797797701|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034
ghisaconus,0.72,0.609,0.609,20,pcal,0.0,18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|46|47|48|49|102,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034
ghisaconus,0.674,0.553,0.553,5,pcal,0.0,23|24|25|27|48,0.41286094211348706|0.42371169388914853|0.4120905881460209|0.4132096898361106|0.41648264986341127
ghisaconus,0.69,0.563,0.563,6,pcal,0.0,22|23|24|25|27|48,0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.4132096898361106|0.41648264986341127
ghisaconus,0.685,0.561,0.561,7,pcal,0.0,22|23|24|25|26|27|48,0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.41648264986341127
ghisaconus,0.647,0.542,0.542,8,pcal,0.0,22|23|24|25|26|27|48|49,0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.41648264986341127|0.3869905677059319
ghisaconus,0.642,0.529,0.529,9,pcal,0.0,22|23|24|25|26|27|47|48|49,0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.642,0.539,0.539,10,pcal,0.0,21|22|23|24|25|26|27|47|48|49,0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.64,0.539,0.539,11,pcal,0.0,21|22|23|24|25|26|27|46|47|48|49,0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.643,0.538,0.538,12,pcal,0.0,19|21|22|23|24|25|26|27|46|47|48|49,0.37211974638683765|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.65,0.544,0.544,13,pcal,0.0,19|20|21|22|23|24|25|26|27|46|47|48|49,0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.659,0.55,0.55,14,pcal,0.0,18|19|20|21|22|23|24|25|26|27|46|47|48|49,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.677,0.57,0.57,15,pcal,0.0,18|19|20|21|22|23|24|25|26|27|31|46|47|48|49,0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.36785665297962994|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319
ghisaconus,0.734,0.622,0.622,24,pcal,0.0,0|17|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|46|47|48|49|102|126,0.36011882623634245|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215
ghisaconus,0.731,0.62,0.62,25,pcal,0.0,0|17|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|36|46|47|48|49|102|126,0.36011882623634245|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.34725415679533267|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034|0.34914769541907215
ghisaconus,0.724,0.621,0.621,22,pcal,0.0,0|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|46|47|48|49|102,0.36011882623634245|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034
ghisaconus,0.725,0.623,0.623,23,pcal,0.0,0|17|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|34|46|47|48|49|102,0.36011882623634245|0.3538972195940403|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.35414637582137964|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034
ghisaconus,0.721,0.619,0.619,21,pcal,0.0,0|18|19|20|21|22|23|24|25|26|27|29|30|31|32|33|46|47|48|49|102,0.36011882623634245|0.3684043618604681|0.37211974638683765|0.37151232166164405|0.37433462138781215|0.39052039312136677|0.41286094211348706|0.42371169388914853|0.4120905881460209|0.3882836116117271|0.4132096898361106|0.366937789423571|0.3602136396819127|0.36785665297962994|0.365661158460346|0.3628578797797701|0.37274822265133456|0.38249039465817897|0.41648264986341127|0.3869905677059319|0.3607644721756034
ghisaconus,0.653,0.555,0.555,30,mcuve,0.538,32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|50|51|52|53|54|55|56|57|58|59|60|61|63|64|65,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.653,0.55,0.55,28,mcuve,0.531,32|33|34|35|36|38|39|40|41|42|43|44|45|50|51|52|53|54|55|56|57|58|59|60|61|63|64|65,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.657,0.546,0.546,29,mcuve,0.531,30|33|34|35|36|37|38|39|40|41|42|43|44|45|50|51|52|53|54|55|56|57|58|59|60|61|63|64|65,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.619,0.532,0.532,26,mcuve,0.534,34|35|36|37|38|39|40|41|43|44|45|46|50|51|52|53|54|56|57|58|59|60|61|62|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.627,0.53,0.53,27,mcuve,0.545,36|37|38|39|40|41|42|43|44|45|46|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.625,0.517,0.517,23,mcuve,0.535,34|35|39|40|41|42|43|44|45|50|51|52|53|54|55|56|57|58|59|60|61|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.619,0.54,0.54,22,mcuve,0.559,35|36|37|38|39|40|41|42|43|44|45|46|50|51|52|53|58|59|60|61|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.651,0.548,0.548,25,mcuve,0.533,32|33|34|35|36|39|40|41|42|43|44|45|50|51|52|53|54|55|56|57|58|59|60|61|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.61,0.51,0.51,24,mcuve,0.555,38|39|40|41|42|43|44|45|46|50|51|52|53|54|55|56|57|58|59|60|61|63|64|65,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.631,0.528,0.528,21,mcuve,0.538,35|36|37|38|39|40|41|44|45|50|51|52|53|54|58|59|60|61|63|64|65,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.61,0.5,0.5,20,mcuve,0.542,40|41|42|43|44|45|50|51|52|53|54|56|57|58|59|60|61|62|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.633,0.503,0.503,10,mcuve,0.538,50|51|52|53|58|59|60|61|63|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.603,0.514,0.514,11,mcuve,0.528,39|40|44|45|50|51|52|58|59|60|61,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ghisaconus,0.621,0.524,0.524,12,mcuve,0.536,39|40|44|45|50|51|52|58|59|60|61|64,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
