epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,1.812,0.4990217,9.98e-05,1.813,0.772,0.63,0.644,0.447,0.547,0.499,0.447,0.547,0.499,109|73|68|123|104|12|129|11|93|75|45|40|74|115|98|85|8|49|96|87|117|42|58|128|97|30|1|126|78|16,0.547|0.546|0.546|0.542|0.541|0.54|0.539|0.539|0.538|0.536|0.535|0.532|0.532|0.531|0.53|0.529|0.529|0.527|0.527|0.527|0.526|0.525|0.524|0.523|0.523|0.522|0.521|0.521|0.52|0.52,0.51,0.521,0.482,0.494,0.483,0.476,0.493,0.468,0.529,0.492,0.486,0.539,0.54,0.491,0.496,0.478,0.52,0.507,0.484,0.482,0.508,0.491,0.492,0.501,0.482,0.492,0.496,0.505,0.494,0.49,0.522,0.475,0.452,0.516,0.494,0.512,0.469,0.507,0.497,0.493,0.532,0.475,0.525,0.477,0.479,0.535,0.493,0.483,0.491,0.527,0.491,0.473,0.474,0.491,0.492,0.47,0.51,0.515,0.524,0.503,0.475,0.512,0.474,0.509,0.49,0.504,0.513,0.485,0.546,0.452,0.496,0.458,0.498,0.546,0.532,0.536,0.498,0.511,0.52,0.474,0.49,0.515,0.513,0.493,0.472,0.529,0.493,0.527,0.499,0.481,0.493,0.473,0.492,0.538,0.505,0.489,0.527,0.523,0.53,0.467,0.476,0.457,0.499,0.492,0.541,0.497,0.5,0.503,0.51,0.547,0.513,0.504,0.505,0.462,0.512,0.531,0.452,0.526,0.5,0.448,0.447,0.508,0.472,0.542,0.487,0.475,0.521,0.518,0.523,0.539,0.468
10,131,131,0.484,0.4106845,9.78e-05,0.484,0.793,0.669,0.678,0.081,0.894,0.411,0.045,0.894,0.406,31|29|18|41|116|48|33|61|127|86|102|117|45|104|46|64|88|21|59|62|101|75|90|95|10|3|51|98|57|92,0.894|0.846|0.833|0.801|0.782|0.781|0.776|0.759|0.743|0.72|0.711|0.707|0.699|0.697|0.694|0.684|0.669|0.664|0.657|0.654|0.646|0.64|0.64|0.63|0.623|0.623|0.606|0.605|0.595|0.59,0.057,0.448,0.385,0.623,0.2,0.288,0.058,0.045,0.458,0.258,0.623,0.088,0.408,0.465,0.278,0.41,0.252,0.404,0.833,0.453,0.322,0.664,0.465,0.499,0.453,0.239,0.099,0.384,0.068,0.846,0.41,0.894,0.155,0.776,0.064,0.086,0.416,0.381,0.247,0.196,0.141,0.801,0.497,0.246,0.088,0.699,0.694,0.481,0.781,0.395,0.556,0.606,0.265,0.114,0.34,0.076,0.183,0.595,0.378,0.657,0.276,0.759,0.654,0.402,0.684,0.243,0.443,0.367,0.332,0.394,0.41,0.371,0.513,0.293,0.276,0.64,0.298,0.396,0.127,0.374,0.553,0.269,0.403,0.379,0.236,0.244,0.72,0.328,0.669,0.31,0.64,0.571,0.59,0.585,0.453,0.63,0.484,0.43,0.605,0.06,0.128,0.646,0.711,0.144,0.697,0.329,0.12,0.363,0.573,0.165,0.264,0.316,0.118,0.101,0.539,0.335,0.782,0.707,0.271,0.295,0.558,0.447,0.368,0.434,0.473,0.44,0.315,0.743,0.239,0.361,0.514
20,131,131,0.372,0.3826278,9.59e-05,0.372,0.793,0.675,0.677,0.044,0.924,0.383,0.013,0.924,0.375,31|18|29|116|41|102|101|61|48|127|104|46|10|64|117|90|86|62|88|57|23|33|95|59|21|3|45|8|114|98,0.924|0.917|0.89|0.844|0.843|0.839|0.787|0.777|0.771|0.771|0.763|0.75|0.744|0.74|0.738|0.704|0.704|0.702|0.68|0.676|0.666|0.663|0.66|0.66|0.639|0.635|0.602|0.597|0.566|0.551,0.06,0.414,0.28,0.635,0.13,0.249,0.013,0.016,0.597,0.144,0.744,0.09,0.408,0.336,0.145,0.314,0.137,0.359,0.917,0.531,0.355,0.639,0.399,0.666,0.502,0.26,0.07,0.408,0.106,0.89,0.37,0.924,0.158,0.663,0.046,0.047,0.249,0.339,0.235,0.168,0.102,0.843,0.481,0.154,0.044,0.602,0.75,0.466,0.771,0.43,0.499,0.528,0.118,0.095,0.231,0.083,0.1,0.676,0.19,0.66,0.203,0.777,0.702,0.354,0.74,0.091,0.449,0.26,0.226,0.339,0.329,0.43,0.435,0.253,0.24,0.457,0.253,0.343,0.074,0.304,0.401,0.208,0.346,0.345,0.244,0.126,0.704,0.253,0.68,0.183,0.704,0.505,0.54,0.543,0.342,0.66,0.53,0.305,0.551,0.037,0.031,0.787,0.839,0.051,0.763,0.307,0.1,0.318,0.543,0.083,0.131,0.248,0.158,0.052,0.566,0.183,0.844,0.738,0.336,0.197,0.547,0.375,0.283,0.411,0.467,0.496,0.291,0.771,0.173,0.405,0.397
30,131,131,0.339,0.3618006,9.4e-05,0.339,0.789,0.67,0.671,0.063,0.927,0.362,0.028,0.927,0.352,18|31|29|116|10|41|61|102|23|101|64|57|48|127|117|90|62|46|59|104|19|86|21|120|88|33|95|8|45|98,0.927|0.911|0.88|0.853|0.839|0.832|0.819|0.818|0.797|0.788|0.757|0.744|0.743|0.731|0.729|0.72|0.719|0.709|0.708|0.696|0.686|0.685|0.674|0.664|0.661|0.631|0.611|0.607|0.589|0.574,0.05,0.369,0.267,0.516,0.179,0.083,0.031,0.042,0.607,0.038,0.839,0.103,0.307,0.387,0.052,0.334,0.245,0.357,0.927,0.686,0.351,0.674,0.442,0.797,0.57,0.266,0.038,0.513,0.238,0.88,0.284,0.911,0.232,0.631,0.086,0.081,0.182,0.297,0.057,0.067,0.078,0.832,0.355,0.069,0.068,0.589,0.709,0.491,0.743,0.418,0.48,0.499,0.109,0.044,0.239,0.059,0.029,0.744,0.108,0.708,0.219,0.819,0.719,0.236,0.757,0.094,0.457,0.22,0.23,0.294,0.276,0.344,0.325,0.064,0.168,0.358,0.176,0.193,0.25,0.236,0.276,0.107,0.321,0.314,0.276,0.053,0.685,0.201,0.661,0.084,0.72,0.49,0.488,0.432,0.349,0.611,0.507,0.213,0.574,0.058,0.028,0.788,0.818,0.045,0.696,0.174,0.093,0.236,0.472,0.07,0.157,0.217,0.306,0.056,0.534,0.107,0.853,0.729,0.183,0.126,0.664,0.315,0.312,0.413,0.295,0.482,0.261,0.731,0.203,0.267,0.248
40,131,131,0.304,0.3420489,9.21e-05,0.304,0.796,0.675,0.681,0.041,0.922,0.342,0.015,0.922,0.331,18|29|116|31|41|102|61|10|101|23|48|117|64|62|57|59|21|46|127|86|104|19|88|8|90|120|33|95|27|45,0.922|0.891|0.886|0.886|0.869|0.837|0.826|0.822|0.815|0.784|0.779|0.755|0.754|0.734|0.733|0.722|0.704|0.695|0.693|0.673|0.667|0.662|0.662|0.656|0.655|0.654|0.608|0.605|0.594|0.582,0.024,0.392,0.255,0.47,0.105,0.07,0.017,0.038,0.656,0.061,0.822,0.095,0.262,0.303,0.047,0.311,0.121,0.356,0.922,0.662,0.314,0.704,0.452,0.784,0.568,0.24,0.021,0.594,0.181,0.891,0.275,0.886,0.213,0.608,0.085,0.07,0.066,0.263,0.055,0.09,0.059,0.869,0.315,0.04,0.068,0.582,0.695,0.441,0.779,0.467,0.453,0.515,0.132,0.086,0.129,0.066,0.026,0.733,0.159,0.722,0.145,0.826,0.734,0.122,0.754,0.071,0.399,0.221,0.216,0.254,0.185,0.349,0.274,0.083,0.157,0.37,0.217,0.128,0.187,0.278,0.229,0.081,0.309,0.278,0.234,0.03,0.673,0.155,0.662,0.034,0.655,0.398,0.419,0.368,0.346,0.605,0.403,0.13,0.569,0.015,0.041,0.815,0.837,0.05,0.667,0.122,0.063,0.237,0.347,0.13,0.121,0.22,0.177,0.039,0.453,0.042,0.886,0.755,0.106,0.066,0.654,0.303,0.263,0.342,0.258,0.463,0.205,0.693,0.21,0.245,0.246
50,131,131,0.254,0.3199531,9.03e-05,0.254,0.793,0.673,0.677,0.022,0.958,0.32,0.005,0.958,0.305,18|29|31|23|116|10|61|41|102|101|64|57|48|117|19|62|21|59|88|104|120|86|127|90|95|33|8|98|27|46,0.958|0.946|0.927|0.891|0.886|0.885|0.876|0.866|0.86|0.842|0.808|0.8|0.785|0.774|0.752|0.743|0.732|0.727|0.726|0.709|0.704|0.701|0.693|0.685|0.642|0.639|0.637|0.633|0.605|0.598,0.008,0.422,0.129,0.495,0.079,0.036,0.006,0.036,0.637,0.027,0.885,0.038,0.296,0.311,0.026,0.278,0.072,0.365,0.958,0.752,0.203,0.732,0.479,0.891,0.583,0.082,0.01,0.605,0.256,0.946,0.239,0.927,0.163,0.639,0.046,0.019,0.039,0.206,0.014,0.03,0.029,0.866,0.224,0.028,0.037,0.541,0.598,0.491,0.785,0.437,0.429,0.425,0.095,0.049,0.065,0.024,0.015,0.8,0.049,0.727,0.061,0.876,0.743,0.047,0.808,0.02,0.294,0.178,0.128,0.197,0.068,0.265,0.227,0.035,0.096,0.249,0.124,0.109,0.04,0.212,0.151,0.05,0.234,0.199,0.223,0.015,0.701,0.078,0.726,0.007,0.685,0.349,0.351,0.297,0.318,0.642,0.379,0.023,0.633,0.005,0.013,0.842,0.86,0.026,0.709,0.058,0.017,0.219,0.275,0.103,0.049,0.19,0.175,0.019,0.37,0.01,0.886,0.774,0.062,0.032,0.704,0.298,0.254,0.324,0.211,0.439,0.219,0.693,0.202,0.204,0.196
60,131,131,0.173,0.3190028,8.85e-05,0.173,0.793,0.673,0.677,0.04,0.947,0.319,0.012,0.947,0.304,18|29|31|10|116|23|101|41|61|102|21|64|57|127|88|33|48|59|62|98|19|86|104|117|120|27|90|8|95|46,0.947|0.941|0.879|0.873|0.858|0.855|0.839|0.83|0.826|0.795|0.777|0.768|0.751|0.742|0.739|0.73|0.726|0.723|0.718|0.716|0.715|0.709|0.708|0.701|0.698|0.696|0.657|0.613|0.6|0.578,0.013,0.472,0.089,0.504,0.091,0.039,0.023,0.069,0.613,0.038,0.873,0.036,0.386,0.232,0.026,0.27,0.096,0.308,0.947,0.715,0.186,0.777,0.509,0.855,0.559,0.102,0.017,0.696,0.336,0.941,0.242,0.879,0.139,0.73,0.068,0.033,0.044,0.169,0.027,0.069,0.04,0.83,0.17,0.037,0.059,0.465,0.578,0.448,0.726,0.403,0.381,0.417,0.093,0.026,0.075,0.077,0.03,0.751,0.06,0.723,0.049,0.826,0.718,0.026,0.768,0.038,0.292,0.178,0.154,0.194,0.074,0.264,0.117,0.047,0.029,0.258,0.187,0.145,0.051,0.199,0.068,0.122,0.263,0.148,0.169,0.045,0.709,0.043,0.739,0.031,0.657,0.258,0.388,0.283,0.384,0.6,0.405,0.036,0.716,0.012,0.024,0.839,0.795,0.04,0.708,0.041,0.023,0.08,0.351,0.074,0.037,0.111,0.173,0.034,0.299,0.024,0.858,0.701,0.048,0.047,0.698,0.316,0.276,0.414,0.293,0.439,0.183,0.742,0.288,0.257,0.259
70,131,131,0.205,0.2920176,8.68e-05,0.205,0.793,0.673,0.677,0.026,0.954,0.292,0.003,0.954,0.274,29|18|10|23|31|61|101|116|41|21|88|64|104|86|33|127|102|98|120|59|62|19|27|48|90|57|117|8|95|46,0.954|0.947|0.913|0.891|0.883|0.871|0.865|0.86|0.842|0.812|0.81|0.796|0.77|0.768|0.762|0.757|0.755|0.75|0.747|0.745|0.732|0.725|0.721|0.717|0.716|0.714|0.678|0.674|0.615|0.541,0.011,0.329,0.043,0.479,0.042,0.017,0.014,0.036,0.674,0.02,0.913,0.047,0.367,0.146,0.016,0.154,0.11,0.187,0.947,0.725,0.102,0.812,0.387,0.891,0.442,0.056,0.012,0.721,0.299,0.954,0.186,0.883,0.118,0.762,0.017,0.017,0.058,0.159,0.023,0.037,0.029,0.842,0.121,0.011,0.026,0.401,0.541,0.428,0.717,0.374,0.331,0.314,0.07,0.028,0.045,0.028,0.02,0.714,0.036,0.745,0.029,0.871,0.732,0.016,0.796,0.044,0.163,0.133,0.048,0.054,0.039,0.15,0.026,0.012,0.019,0.19,0.114,0.099,0.006,0.159,0.033,0.055,0.239,0.148,0.067,0.008,0.768,0.02,0.81,0.016,0.716,0.168,0.263,0.167,0.356,0.615,0.267,0.01,0.75,0.003,0.008,0.865,0.755,0.024,0.77,0.016,0.019,0.064,0.198,0.079,0.028,0.08,0.132,0.013,0.215,0.012,0.86,0.678,0.027,0.032,0.747,0.257,0.295,0.365,0.23,0.466,0.041,0.757,0.282,0.23,0.202
80,131,131,0.264,0.2910476,8.5e-05,0.264,0.793,0.664,0.676,0.028,0.948,0.291,0.006,0.948,0.273,29|18|23|10|31|41|61|21|116|19|64|101|48|59|98|33|88|62|104|127|102|120|90|86|8|117|57|95|27|47,0.948|0.943|0.909|0.901|0.898|0.854|0.845|0.823|0.812|0.794|0.783|0.781|0.755|0.743|0.741|0.734|0.733|0.729|0.729|0.717|0.714|0.708|0.698|0.69|0.663|0.662|0.656|0.623|0.619|0.584,0.009,0.351,0.077,0.491,0.085,0.028,0.038,0.043,0.663,0.058,0.901,0.041,0.341,0.15,0.05,0.193,0.151,0.207,0.943,0.794,0.105,0.823,0.446,0.909,0.467,0.026,0.032,0.619,0.275,0.948,0.194,0.898,0.201,0.734,0.023,0.029,0.055,0.234,0.041,0.046,0.024,0.854,0.132,0.04,0.03,0.44,0.476,0.584,0.755,0.449,0.243,0.2,0.08,0.054,0.042,0.051,0.025,0.656,0.044,0.743,0.038,0.845,0.729,0.029,0.783,0.039,0.047,0.043,0.039,0.032,0.044,0.202,0.036,0.01,0.027,0.213,0.067,0.137,0.018,0.165,0.03,0.093,0.226,0.109,0.092,0.015,0.69,0.026,0.733,0.019,0.698,0.129,0.153,0.206,0.357,0.623,0.19,0.021,0.741,0.006,0.017,0.781,0.714,0.045,0.729,0.02,0.023,0.071,0.254,0.094,0.024,0.075,0.129,0.02,0.125,0.019,0.812,0.662,0.034,0.052,0.708,0.252,0.299,0.363,0.226,0.427,0.054,0.717,0.255,0.211,0.211
90,131,131,0.239,0.2862022,8.34e-05,0.239,0.794,0.67,0.679,0.03,0.952,0.286,0.006,0.952,0.268,29|18|23|10|31|41|21|61|116|59|101|64|88|33|48|27|127|19|104|98|90|62|86|8|102|120|57|117|47|46,0.952|0.939|0.916|0.877|0.874|0.86|0.843|0.824|0.823|0.804|0.803|0.78|0.772|0.768|0.76|0.75|0.744|0.73|0.724|0.714|0.706|0.703|0.698|0.695|0.676|0.673|0.653|0.628|0.578|0.545,0.01,0.364,0.097,0.473,0.074,0.031,0.042,0.031,0.695,0.092,0.877,0.037,0.36,0.134,0.031,0.187,0.156,0.229,0.939,0.73,0.111,0.843,0.384,0.916,0.334,0.028,0.035,0.75,0.263,0.952,0.138,0.874,0.159,0.768,0.029,0.027,0.09,0.086,0.037,0.05,0.044,0.86,0.078,0.034,0.034,0.418,0.545,0.578,0.76,0.401,0.204,0.23,0.104,0.036,0.026,0.041,0.029,0.653,0.067,0.804,0.069,0.824,0.703,0.025,0.78,0.033,0.033,0.034,0.047,0.024,0.047,0.226,0.031,0.006,0.033,0.227,0.094,0.148,0.01,0.143,0.019,0.082,0.229,0.108,0.055,0.011,0.698,0.028,0.772,0.016,0.706,0.137,0.139,0.201,0.326,0.473,0.172,0.02,0.714,0.006,0.01,0.803,0.676,0.033,0.724,0.014,0.02,0.038,0.203,0.052,0.029,0.095,0.098,0.018,0.101,0.019,0.823,0.628,0.04,0.051,0.673,0.32,0.234,0.397,0.206,0.367,0.098,0.744,0.329,0.235,0.212
