dataset,target_size,algorithm,oa,aa,k,fold
paviaU,30,v9,0.92,0.9,0.89,0
paviaU,30,v9,0.92,0.9,0.89,1
paviaU,30,v9,0.92,0.9,0.89,2
paviaU,30,v9,0.92,0.9,0.89,3
paviaU,30,v9,0.92,0.9,0.89,4
paviaU,30,v9,0.92,0.9,0.89,5
paviaU,30,v9,0.92,0.9,0.89,6
paviaU,30,v9,0.92,0.9,0.89,7
paviaU,30,v9,0.92,0.9,0.89,8
paviaU,30,v9,0.92,0.9,0.89,9
paviaU,30,v9,0.92,0.9,0.89,10
paviaU,30,v9,0.92,0.9,0.89,11
paviaU,30,v9,0.92,0.9,0.89,12
paviaU,30,v9,0.92,0.9,0.89,13
paviaU,30,v9,0.92,0.9,0.89,14
paviaU,30,v9,0.92,0.9,0.89,15
paviaU,30,v9,0.92,0.9,0.89,16
paviaU,30,v9,0.92,0.9,0.89,17
paviaU,30,v9,0.92,0.9,0.89,18
paviaU,30,v9,0.92,0.9,0.89,19
