epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,200,200,2.908,0.4993378,0.00998,2.913,0,0,0,0.43,0.565,0.499,0.43,0.565,0.499,16|65|5|189|76|132|52|101|169|4|196|97|56|89|110|183|102|73|129|107|109|195|152|54|6|115|191|18|7|198,0.565|0.556|0.552|0.551|0.55|0.546|0.546|0.544|0.544|0.543|0.542|0.539|0.537|0.537|0.537|0.537|0.535|0.534|0.534|0.533|0.532|0.532|0.531|0.531|0.53|0.53|0.53|0.529|0.527|0.527,0.43,0.495,0.476,0.488,0.543,0.552,0.53,0.527,0.484,0.492,0.499,0.454,0.459,0.48,0.517,0.499,0.565,0.485,0.529,0.496,0.478,0.5,0.497,0.508,0.499,0.463,0.471,0.493,0.441,0.523,0.507,0.464,0.517,0.479,0.47,0.503,0.509,0.451,0.481,0.476,0.522,0.519,0.518,0.465,0.523,0.526,0.516,0.51,0.493,0.476,0.479,0.462,0.546,0.455,0.531,0.465,0.537,0.49,0.504,0.477,0.51,0.47,0.494,0.512,0.492,0.556,0.503,0.513,0.525,0.508,0.479,0.465,0.491,0.534,0.52,0.483,0.55,0.518,0.507,0.497,0.515,0.512,0.491,0.51,0.501,0.51,0.466,0.514,0.455,0.537,0.509,0.502,0.444,0.499,0.525,0.52,0.521,0.539,0.496,0.512,0.484,0.544,0.535,0.508,0.526,0.497,0.517,0.533,0.514,0.532,0.537,0.452,0.46,0.486,0.49,0.53,0.504,0.49,0.477,0.472,0.515,0.511,0.507,0.471,0.48,0.505,0.494,0.501,0.488,0.534,0.5,0.5,0.546,0.456,0.516,0.524,0.483,0.444,0.49,0.512,0.522,0.475,0.491,0.456,0.489,0.516,0.478,0.479,0.494,0.498,0.48,0.508,0.531,0.435,0.484,0.519,0.523,0.496,0.489,0.515,0.511,0.487,0.491,0.476,0.48,0.484,0.473,0.523,0.51,0.544,0.501,0.496,0.47,0.509,0.508,0.505,0.493,0.482,0.468,0.522,0.49,0.433,0.517,0.537,0.476,0.489,0.52,0.506,0.478,0.551,0.448,0.53,0.488,0.494,0.525,0.532,0.542,0.471,0.527,0.494
10,200,196,1.591,0.4948748,0.0097824,1.596,0,0,0,0.27,0.722,0.495,0.0,0.722,0.489,23|7|76|42|57|155|169|46|110|3|69|164|45|16|161|5|18|105|72|67|94|128|56|183|78|120|4|97|116|175,0.722|0.696|0.689|0.679|0.678|0.678|0.677|0.666|0.662|0.66|0.66|0.656|0.65|0.649|0.648|0.645|0.64|0.638|0.637|0.636|0.636|0.633|0.626|0.626|0.625|0.619|0.613|0.609|0.608|0.607,0.312,0.533,0.496,0.66,0.613,0.645,0.455,0.696,0.328,0.454,0.463,0.433,0.401,0.588,0.551,0.435,0.649,0.502,0.64,0.501,0.339,0.41,0.574,0.722,0.371,0.556,0.386,0.501,0.555,0.39,0.337,0.0,0.521,0.56,0.335,0.531,0.403,0.329,0.563,0.551,0.391,0.585,0.679,0.582,0.604,0.65,0.666,0.489,0.472,0.605,0.497,0.45,0.598,0.436,0.478,0.405,0.626,0.678,0.493,0.59,0.405,0.0,0.405,0.466,0.573,0.594,0.587,0.636,0.438,0.66,0.472,0.471,0.637,0.564,0.603,0.51,0.689,0.512,0.625,0.483,0.388,0.449,0.462,0.491,0.514,0.557,0.495,0.533,0.457,0.465,0.483,0.578,0.51,0.36,0.636,0.465,0.379,0.609,0.379,0.439,0.562,0.539,0.374,0.0,0.563,0.638,0.563,0.393,0.377,0.447,0.662,0.49,0.315,0.373,0.606,0.35,0.608,0.476,0.477,0.536,0.619,0.533,0.606,0.41,0.525,0.511,0.311,0.389,0.633,0.536,0.522,0.337,0.486,0.417,0.358,0.563,0.554,0.0,0.376,0.434,0.583,0.443,0.33,0.446,0.403,0.462,0.568,0.454,0.558,0.567,0.472,0.473,0.559,0.338,0.377,0.678,0.481,0.551,0.484,0.35,0.389,0.648,0.36,0.345,0.656,0.362,0.528,0.376,0.542,0.677,0.581,0.414,0.58,0.501,0.545,0.607,0.523,0.368,0.378,0.58,0.487,0.346,0.467,0.626,0.52,0.605,0.458,0.458,0.52,0.475,0.492,0.363,0.513,0.438,0.395,0.498,0.505,0.514,0.494,0.436
20,200,185,1.377,0.4935901,0.0095887,1.381,0,0,0,0.2,0.814,0.494,0.0,0.814,0.474,23|3|7|161|57|4|5|76|169|43|155|42|18|69|110|164|128|45|97|78|175|16|179|122|148|105|170|49|46|13,0.814|0.786|0.751|0.747|0.745|0.744|0.728|0.718|0.713|0.712|0.706|0.704|0.697|0.696|0.688|0.68|0.678|0.675|0.674|0.667|0.667|0.665|0.661|0.658|0.651|0.651|0.647|0.644|0.641|0.64,0.0,0.605,0.494,0.786,0.744,0.728,0.493,0.751,0.331,0.424,0.359,0.434,0.376,0.64,0.525,0.401,0.665,0.531,0.697,0.639,0.367,0.361,0.563,0.814,0.401,0.61,0.362,0.536,0.596,0.329,0.344,0.0,0.46,0.524,0.0,0.552,0.393,0.368,0.59,0.636,0.347,0.624,0.704,0.712,0.617,0.675,0.641,0.463,0.498,0.644,0.52,0.483,0.605,0.402,0.455,0.37,0.589,0.745,0.486,0.631,0.0,0.0,0.348,0.489,0.598,0.624,0.552,0.621,0.38,0.696,0.493,0.504,0.631,0.629,0.6,0.462,0.718,0.533,0.667,0.486,0.343,0.408,0.501,0.528,0.567,0.449,0.49,0.452,0.387,0.363,0.42,0.595,0.509,0.335,0.636,0.411,0.317,0.674,0.338,0.438,0.57,0.556,0.301,0.0,0.536,0.651,0.572,0.367,0.355,0.414,0.688,0.529,0.0,0.359,0.629,0.326,0.553,0.491,0.458,0.526,0.623,0.575,0.658,0.4,0.513,0.578,0.32,0.441,0.678,0.586,0.504,0.37,0.44,0.424,0.0,0.559,0.547,0.0,0.387,0.418,0.59,0.41,0.0,0.312,0.304,0.369,0.624,0.422,0.651,0.63,0.488,0.434,0.561,0.0,0.313,0.706,0.444,0.627,0.486,0.347,0.389,0.747,0.0,0.0,0.68,0.0,0.523,0.385,0.538,0.713,0.647,0.385,0.56,0.559,0.625,0.667,0.589,0.328,0.449,0.661,0.464,0.348,0.515,0.588,0.544,0.59,0.409,0.386,0.511,0.417,0.509,0.335,0.484,0.38,0.356,0.479,0.549,0.539,0.495,0.0
30,200,176,1.201,0.4898799,0.0093988,1.206,0,0,0,0.17,0.855,0.49,0.0,0.855,0.461,23|3|4|5|161|7|57|97|43|76|169|148|78|179|155|42|128|18|69|122|164|19|149|170|59|13|175|49|35|110,0.855|0.835|0.82|0.81|0.79|0.785|0.741|0.723|0.721|0.719|0.716|0.714|0.714|0.71|0.71|0.704|0.703|0.702|0.695|0.694|0.689|0.68|0.675|0.673|0.672|0.672|0.667|0.661|0.658|0.654,0.0,0.636,0.471,0.835,0.82,0.81,0.549,0.785,0.397,0.421,0.366,0.508,0.351,0.672,0.485,0.38,0.62,0.564,0.702,0.68,0.37,0.353,0.536,0.855,0.369,0.633,0.317,0.554,0.522,0.0,0.351,0.0,0.452,0.523,0.0,0.658,0.41,0.466,0.617,0.615,0.354,0.635,0.704,0.721,0.63,0.649,0.583,0.453,0.51,0.661,0.491,0.482,0.605,0.41,0.49,0.368,0.533,0.741,0.502,0.672,0.0,0.0,0.367,0.499,0.595,0.632,0.543,0.57,0.38,0.695,0.516,0.468,0.632,0.622,0.558,0.371,0.719,0.542,0.714,0.517,0.342,0.406,0.504,0.532,0.526,0.429,0.496,0.378,0.322,0.0,0.375,0.61,0.465,0.318,0.626,0.37,0.0,0.723,0.0,0.444,0.569,0.562,0.0,0.0,0.489,0.608,0.585,0.373,0.336,0.386,0.654,0.573,0.0,0.362,0.648,0.336,0.477,0.566,0.472,0.519,0.622,0.58,0.694,0.442,0.511,0.572,0.359,0.469,0.703,0.626,0.528,0.392,0.462,0.396,0.0,0.568,0.522,0.0,0.417,0.444,0.565,0.399,0.0,0.0,0.0,0.0,0.604,0.366,0.714,0.675,0.505,0.391,0.498,0.0,0.0,0.71,0.411,0.632,0.422,0.325,0.419,0.79,0.0,0.0,0.689,0.0,0.503,0.385,0.486,0.716,0.673,0.401,0.535,0.595,0.642,0.667,0.653,0.331,0.516,0.71,0.487,0.35,0.545,0.54,0.55,0.616,0.387,0.356,0.479,0.36,0.498,0.3,0.528,0.418,0.345,0.476,0.562,0.546,0.433,0.0
40,200,171,1.118,0.4863416,0.0092127,1.123,0,0,0,0.156,0.87,0.486,0.0,0.87,0.452,23|4|5|3|7|161|148|35|78|57|97|169|122|76|179|42|43|18|164|170|155|149|128|175|176|69|13|59|174|49,0.87|0.863|0.856|0.855|0.827|0.822|0.764|0.748|0.745|0.739|0.735|0.733|0.731|0.723|0.712|0.705|0.703|0.7|0.7|0.698|0.697|0.695|0.694|0.694|0.691|0.685|0.684|0.668|0.666|0.664,0.0,0.626,0.458,0.855,0.863,0.856,0.614,0.827,0.437,0.437,0.373,0.563,0.342,0.684,0.452,0.369,0.581,0.549,0.7,0.66,0.361,0.352,0.502,0.87,0.326,0.643,0.324,0.55,0.464,0.0,0.37,0.0,0.449,0.545,0.0,0.748,0.46,0.536,0.659,0.593,0.353,0.644,0.705,0.703,0.648,0.64,0.567,0.438,0.508,0.664,0.492,0.475,0.596,0.374,0.491,0.334,0.488,0.739,0.516,0.668,0.0,0.0,0.388,0.502,0.598,0.638,0.521,0.533,0.358,0.685,0.52,0.465,0.613,0.602,0.49,0.0,0.723,0.527,0.745,0.529,0.349,0.405,0.518,0.538,0.514,0.41,0.521,0.335,0.0,0.0,0.359,0.608,0.437,0.0,0.605,0.358,0.0,0.735,0.0,0.42,0.587,0.554,0.0,0.0,0.432,0.529,0.559,0.382,0.339,0.369,0.629,0.575,0.0,0.345,0.646,0.309,0.464,0.622,0.473,0.525,0.609,0.596,0.731,0.467,0.514,0.574,0.384,0.518,0.694,0.614,0.577,0.416,0.446,0.374,0.0,0.561,0.506,0.0,0.44,0.459,0.565,0.423,0.0,0.0,0.0,0.0,0.584,0.324,0.764,0.695,0.497,0.364,0.499,0.0,0.0,0.697,0.406,0.623,0.39,0.0,0.457,0.822,0.0,0.0,0.7,0.0,0.489,0.39,0.485,0.733,0.698,0.41,0.524,0.644,0.666,0.694,0.691,0.325,0.537,0.712,0.486,0.34,0.547,0.546,0.546,0.637,0.383,0.324,0.465,0.345,0.492,0.0,0.55,0.389,0.317,0.471,0.559,0.534,0.34,0.0
50,200,169,1.024,0.4836851,0.0090303,1.029,0,0,0,0.149,0.879,0.484,0.0,0.879,0.449,4|23|3|5|7|161|35|148|122|57|97|169|78|179|76|164|170|149|42|176|175|155|18|69|59|174|13|173|38|43,0.879|0.876|0.869|0.868|0.85|0.846|0.807|0.806|0.758|0.753|0.752|0.747|0.746|0.74|0.736|0.731|0.716|0.715|0.711|0.708|0.703|0.701|0.695|0.688|0.686|0.685|0.685|0.679|0.675|0.673,0.0,0.591,0.447,0.869,0.879,0.868,0.647,0.85,0.454,0.469,0.377,0.597,0.316,0.685,0.425,0.346,0.557,0.548,0.695,0.638,0.337,0.35,0.527,0.876,0.313,0.638,0.358,0.551,0.447,0.0,0.366,0.0,0.447,0.578,0.0,0.807,0.512,0.579,0.675,0.558,0.343,0.631,0.711,0.673,0.667,0.63,0.541,0.401,0.517,0.669,0.471,0.486,0.573,0.35,0.529,0.0,0.47,0.753,0.486,0.686,0.0,0.0,0.438,0.507,0.574,0.63,0.497,0.523,0.309,0.688,0.521,0.452,0.613,0.582,0.48,0.0,0.736,0.532,0.746,0.566,0.33,0.382,0.552,0.52,0.445,0.414,0.543,0.0,0.0,0.0,0.337,0.624,0.422,0.0,0.611,0.356,0.0,0.752,0.0,0.438,0.61,0.602,0.0,0.0,0.407,0.45,0.562,0.391,0.319,0.342,0.605,0.575,0.0,0.312,0.654,0.309,0.443,0.665,0.496,0.529,0.573,0.629,0.758,0.488,0.508,0.562,0.385,0.555,0.668,0.615,0.585,0.461,0.467,0.389,0.0,0.551,0.465,0.0,0.426,0.465,0.537,0.433,0.0,0.0,0.0,0.0,0.586,0.333,0.806,0.715,0.503,0.317,0.466,0.0,0.0,0.701,0.399,0.629,0.392,0.0,0.511,0.846,0.0,0.0,0.731,0.0,0.472,0.38,0.481,0.747,0.716,0.39,0.495,0.679,0.685,0.703,0.708,0.322,0.542,0.74,0.471,0.304,0.554,0.538,0.541,0.627,0.396,0.31,0.441,0.321,0.486,0.0,0.551,0.391,0.304,0.466,0.58,0.546,0.301,0.0
60,200,161,0.927,0.4804183,0.0088515,0.932,0,0,0,0.145,0.886,0.48,0.0,0.886,0.435,23|4|3|5|7|161|35|148|122|169|76|57|78|164|149|97|176|170|179|175|18|174|173|13|69|155|49|42|59|6,0.886|0.886|0.876|0.875|0.872|0.865|0.85|0.834|0.778|0.765|0.765|0.76|0.759|0.74|0.738|0.736|0.733|0.733|0.733|0.721|0.706|0.701|0.698|0.694|0.691|0.684|0.681|0.678|0.675|0.674,0.0,0.564,0.412,0.876,0.886,0.875,0.674,0.872,0.474,0.474,0.371,0.63,0.0,0.694,0.42,0.342,0.556,0.529,0.706,0.617,0.348,0.327,0.527,0.886,0.0,0.661,0.368,0.522,0.404,0.0,0.37,0.0,0.423,0.585,0.0,0.85,0.537,0.617,0.639,0.47,0.315,0.581,0.678,0.659,0.659,0.622,0.544,0.433,0.549,0.681,0.445,0.479,0.582,0.346,0.532,0.0,0.492,0.76,0.491,0.675,0.0,0.0,0.428,0.515,0.6,0.66,0.497,0.491,0.0,0.691,0.518,0.43,0.562,0.575,0.432,0.0,0.765,0.535,0.759,0.574,0.306,0.367,0.531,0.535,0.447,0.381,0.528,0.0,0.0,0.0,0.348,0.589,0.379,0.0,0.596,0.327,0.0,0.736,0.0,0.446,0.634,0.605,0.0,0.0,0.354,0.41,0.563,0.387,0.325,0.344,0.612,0.575,0.0,0.0,0.662,0.314,0.457,0.674,0.503,0.525,0.56,0.651,0.778,0.492,0.527,0.551,0.384,0.585,0.656,0.605,0.596,0.472,0.442,0.389,0.0,0.543,0.442,0.0,0.434,0.476,0.549,0.467,0.0,0.0,0.0,0.0,0.603,0.332,0.834,0.738,0.488,0.0,0.482,0.0,0.0,0.684,0.389,0.634,0.406,0.0,0.534,0.865,0.0,0.0,0.74,0.0,0.454,0.393,0.483,0.765,0.733,0.378,0.467,0.698,0.701,0.721,0.733,0.319,0.554,0.733,0.473,0.31,0.555,0.536,0.53,0.637,0.384,0.0,0.435,0.33,0.475,0.0,0.535,0.374,0.0,0.427,0.578,0.528,0.0,0.0
70,200,160,0.824,0.4773511,0.0086762,0.828,0,0,0,0.14,0.894,0.477,0.0,0.894,0.433,4|7|23|5|3|161|35|148|122|57|76|169|78|149|170|176|164|97|179|175|18|6|174|69|173|13|49|42|117|59,0.894|0.891|0.889|0.882|0.879|0.877|0.876|0.856|0.788|0.78|0.777|0.772|0.771|0.749|0.74|0.74|0.734|0.73|0.729|0.728|0.719|0.716|0.705|0.701|0.699|0.697|0.687|0.685|0.682|0.678,0.0,0.541,0.395,0.879,0.894,0.882,0.716,0.891,0.507,0.488,0.375,0.654,0.0,0.697,0.413,0.334,0.531,0.511,0.719,0.589,0.34,0.308,0.516,0.889,0.0,0.661,0.373,0.532,0.393,0.0,0.373,0.0,0.418,0.56,0.0,0.876,0.57,0.635,0.639,0.44,0.307,0.575,0.685,0.645,0.67,0.623,0.546,0.441,0.541,0.687,0.437,0.476,0.581,0.321,0.554,0.0,0.44,0.78,0.51,0.678,0.0,0.0,0.418,0.545,0.615,0.674,0.501,0.478,0.0,0.701,0.525,0.435,0.569,0.559,0.413,0.0,0.777,0.531,0.771,0.568,0.0,0.359,0.517,0.534,0.421,0.38,0.507,0.0,0.0,0.0,0.335,0.579,0.355,0.0,0.595,0.315,0.0,0.73,0.0,0.47,0.665,0.605,0.0,0.0,0.318,0.357,0.546,0.385,0.324,0.337,0.595,0.565,0.0,0.0,0.669,0.318,0.461,0.682,0.502,0.518,0.542,0.648,0.788,0.5,0.535,0.567,0.396,0.604,0.655,0.617,0.582,0.479,0.441,0.377,0.0,0.531,0.444,0.0,0.413,0.491,0.557,0.46,0.0,0.0,0.0,0.0,0.625,0.337,0.856,0.749,0.492,0.0,0.481,0.0,0.0,0.672,0.386,0.646,0.374,0.0,0.555,0.877,0.0,0.0,0.734,0.0,0.432,0.372,0.477,0.772,0.74,0.378,0.45,0.699,0.705,0.728,0.74,0.317,0.569,0.729,0.459,0.32,0.547,0.541,0.528,0.638,0.36,0.0,0.423,0.326,0.457,0.0,0.517,0.362,0.0,0.386,0.584,0.517,0.0,0.0
80,200,155,0.783,0.4749239,0.0085044,0.787,0,0,0,0.134,0.901,0.475,0.0,0.901,0.424,7|35|4|23|5|161|148|3|122|169|57|76|149|6|78|170|176|164|175|179|69|173|13|100|97|18|42|174|117|114,0.901|0.9|0.895|0.895|0.892|0.887|0.878|0.871|0.794|0.794|0.784|0.768|0.767|0.763|0.761|0.751|0.745|0.742|0.74|0.73|0.718|0.717|0.707|0.706|0.706|0.703|0.7|0.697|0.693|0.688,0.0,0.484,0.38,0.871,0.895,0.892,0.763,0.901,0.521,0.484,0.379,0.644,0.0,0.707,0.409,0.35,0.505,0.511,0.703,0.551,0.322,0.0,0.513,0.895,0.0,0.649,0.323,0.551,0.379,0.0,0.408,0.0,0.415,0.509,0.0,0.9,0.602,0.649,0.638,0.414,0.0,0.592,0.7,0.623,0.662,0.615,0.559,0.437,0.554,0.681,0.392,0.436,0.583,0.0,0.599,0.0,0.376,0.784,0.514,0.662,0.0,0.0,0.405,0.566,0.612,0.675,0.529,0.495,0.0,0.718,0.498,0.426,0.583,0.514,0.399,0.0,0.768,0.528,0.761,0.566,0.0,0.375,0.522,0.553,0.405,0.373,0.501,0.0,0.0,0.0,0.337,0.586,0.326,0.0,0.597,0.31,0.0,0.706,0.0,0.492,0.706,0.59,0.0,0.0,0.0,0.342,0.547,0.36,0.328,0.341,0.597,0.599,0.0,0.0,0.688,0.317,0.439,0.693,0.483,0.466,0.548,0.651,0.794,0.524,0.56,0.571,0.429,0.565,0.671,0.635,0.58,0.485,0.432,0.373,0.0,0.523,0.414,0.0,0.436,0.533,0.573,0.452,0.0,0.0,0.0,0.0,0.626,0.355,0.878,0.767,0.502,0.0,0.484,0.0,0.0,0.67,0.359,0.643,0.39,0.0,0.557,0.887,0.0,0.0,0.742,0.0,0.415,0.4,0.502,0.794,0.751,0.39,0.471,0.717,0.697,0.74,0.745,0.339,0.56,0.73,0.457,0.306,0.562,0.564,0.534,0.604,0.342,0.0,0.409,0.0,0.44,0.0,0.509,0.361,0.0,0.375,0.564,0.505,0.0,0.0
90,200,151,0.725,0.4725308,0.008336,0.729,0,0,0,0.129,0.915,0.473,0.0,0.915,0.418,35|7|23|5|4|148|161|3|169|149|122|57|6|170|176|78|76|173|69|164|175|179|100|42|13|117|114|18|174|97,0.915|0.908|0.903|0.898|0.893|0.893|0.892|0.854|0.821|0.797|0.795|0.792|0.791|0.767|0.761|0.756|0.754|0.744|0.743|0.742|0.74|0.731|0.726|0.72|0.713|0.713|0.712|0.71|0.703|0.703,0.0,0.428,0.359,0.854,0.893,0.898,0.791,0.908,0.538,0.459,0.386,0.611,0.0,0.713,0.421,0.332,0.517,0.511,0.71,0.543,0.319,0.0,0.496,0.903,0.0,0.661,0.0,0.552,0.371,0.0,0.421,0.0,0.413,0.509,0.0,0.915,0.631,0.623,0.635,0.4,0.0,0.596,0.72,0.618,0.681,0.629,0.577,0.407,0.523,0.659,0.377,0.385,0.567,0.0,0.641,0.0,0.307,0.792,0.515,0.67,0.0,0.0,0.394,0.584,0.57,0.659,0.532,0.492,0.0,0.743,0.476,0.418,0.609,0.5,0.382,0.0,0.754,0.507,0.756,0.559,0.0,0.406,0.51,0.545,0.364,0.37,0.481,0.0,0.0,0.0,0.319,0.611,0.0,0.0,0.602,0.0,0.0,0.703,0.0,0.526,0.726,0.615,0.0,0.0,0.0,0.335,0.551,0.337,0.315,0.337,0.609,0.604,0.0,0.0,0.712,0.321,0.423,0.713,0.461,0.439,0.576,0.672,0.795,0.555,0.594,0.556,0.446,0.542,0.647,0.665,0.564,0.516,0.436,0.373,0.0,0.478,0.387,0.0,0.425,0.567,0.606,0.464,0.0,0.0,0.0,0.0,0.621,0.377,0.893,0.797,0.499,0.0,0.474,0.0,0.0,0.678,0.309,0.657,0.396,0.0,0.566,0.892,0.0,0.0,0.742,0.0,0.399,0.429,0.518,0.821,0.767,0.41,0.466,0.744,0.703,0.74,0.761,0.356,0.541,0.731,0.476,0.0,0.592,0.592,0.54,0.61,0.341,0.0,0.415,0.0,0.422,0.0,0.52,0.38,0.0,0.367,0.542,0.471,0.0,0.0
